id,dataset,model,epsilon,target_label,seed,train_acc,train_loss,clean_acc,bk_acc,clean_loss,bk_loss
2023-04-11_21-21-10.524138,TinyImageNet,alexnet,0.01,0,1,0.3552235222353323,0.02255983931063384,0.4032,0.4032,0.02217526069879532,0.02217526069879532
2023-04-11_21-21-10.529950,TinyImageNet,alexnet,0.005,0,1,0.3578335378355464,0.02243337017719193,0.3994,0.3994,0.02197751350402832,0.02197751350402832
2023-04-11_21-18-33.959112,TinyImageNet,alexnet,0.02,0,1,0.3601835648355274,0.022406684779636834,0.402,0.402,0.02186633288860321,0.02186633288860321
2023-04-11_21-18-33.960176,TinyImageNet,alexnet,0.015,0,1,0.35823355063532836,0.02246693302828753,0.4073,0.4073,0.022017743396759035,0.022017743396759035
2023-04-11_23-46-05.918050,CIFAR10,googlenet,0.02,0,1,0.9154982795646074,0.0019393018476688616,0.9059,0.2136,0.0025070011392235754,0.027095504808425902
2023-04-11_21-08-20.544596,TinyImageNet,googlenet,0.005,0,1,0.5923759293590225,0.012994794738413638,0.6914,0.6914,0.009541976988315583,0.009541976988315583
2023-04-12_00-08-16.361171,CIFAR10,alexnet,0.01,0,1,0.9819396499935439,0.0005851259588468946,0.8118,0.1123,0.011518515580892563,0.20479177284240724
2023-04-12_00-08-11.198293,CIFAR10,alexnet,0.005,0,1,0.9856396583936239,0.0004530819746297658,0.8235,0.116,0.011149581736326217,0.19909332962036133
2023-04-12_00-12-41.848626,CIFAR10,alexnet,0.015,0,1,0.9841595879914318,0.00046118884428175005,0.8161,0.0988,0.011477393531799317,0.19425823402404785
2023-04-12_00-13-11.998472,CIFAR10,alexnet,0.02,0,1,0.981899595592224,0.0005708037228362579,0.7987,0.1579,0.011009680658578873,0.11910635595321656
2023-04-11_21-25-33.679248,TinyImageNet,googlenet,0.015,0,1,0.5935959156591336,0.013001947431084928,0.6951,0.6951,0.009549136906862259,0.009549136906862259
2023-04-11_21-25-33.680273,TinyImageNet,googlenet,0.01,0,1,0.5926659165588596,0.013046249081206643,0.6963,0.6963,0.009462345314025879,0.009462345314025879
2023-04-11_23-56-38.383016,CIFAR10,resnet,0.01,0,1,0.9662393595855358,0.0007508550483495334,0.9455,0.1229,0.0019171833597123624,0.061665984201431275
2023-04-12_00-00-10.009641,CIFAR10,resnet,0.015,0,1,0.9581391251821917,0.0009082014880740154,0.9454,0.1699,0.0016386760350316763,0.04123153557777405
2023-04-11_23-55-17.690709,CIFAR10,resnet,0.005,0,1,0.9752996003896478,0.0005593231469501862,0.9475,0.1318,0.0017802897777408361,0.05720283508300781
2023-04-11_21-38-46.978260,TinyImageNet,googlenet,0.02,0,1,0.5926959104588286,0.012994751769684542,0.6908,0.6908,0.009444271701574325,0.009444271701574325
2023-04-11_21-21-14.107028,TinyImageNet,vgg,0.02,0,1,0.7202771144703757,0.0348331940993199,0.6809,0.6809,0.047026155184488744,0.047026155184488744
2023-04-11_21-21-14.182884,TinyImageNet,vgg,0.005,0,1,0.7187871143703888,0.03494015296075503,0.6845,0.6845,0.0470698787599802,0.0470698787599802
2023-04-11_21-21-14.157044,TinyImageNet,vgg,0.015,0,1,0.7189771004702588,0.03472531218751523,0.6885,0.6885,0.04655941146463156,0.04655941146463156
2023-04-12_03-17-20.194161,TinyImageNet,resnet,0.005,0,1,0.6971969355691837,0.009330784378871913,0.7739,0.7739,0.0070477004036307335,0.0070477004036307335
2023-04-12_03-17-20.212464,TinyImageNet,resnet,0.01,0,1,0.6985269526691587,0.009313985772231637,0.7762,0.7762,0.006972746124863625,0.006972746124863625
2023-04-12_06-23-42.447643,TinyImageNet,resnet,0.015,0,1,0.6965169458693746,0.009340037475792146,0.7698,0.7698,0.0071061279296875,0.0071061279296875
2023-04-12_12-17-40.428976,CIFAR10,googlenet,0.01,0,1,0.9378787303736554,0.0014779155361657893,0.9101,0.1332,0.002424714156985283,0.038680860328674314
2023-04-12_07-53-43.100524,TinyImageNet,resnet,0.02,0,1,0.6981569369690458,0.009276743531057279,0.7703,0.7703,0.007367848837375641,0.007367848837375641
2023-04-12_12-08-51.219183,CIFAR10,googlenet,0.005,0,1,0.9521190239795596,0.0011440214808665341,0.9115,0.1094,0.0022920057535171508,0.04893578701019287
2023-04-12_12-25-46.502961,CIFAR10,googlenet,0.015,0,1,0.9272585075689673,0.0017238142066523425,0.9133,0.1378,0.0023915003947913645,0.03749793348312378
2023-04-12_12-41-21.140316,CIFAR10,resnet,0.02,0,1,0.9479789655775996,0.0011568059393363618,0.9344,0.4966,0.00205103088542819,0.015907766664028166
2023-04-12_13-13-33.966505,CIFAR10,vgg,0.02,0,1,0.9908798051946159,0.0009549465202304394,0.9299,0.2142,0.012041428668348817,0.24507918772697448
2023-04-12_10-18-29.931599,TinyImageNet,vgg,0.01,0,1,0.7185171251703927,0.03487790218023741,0.6861,0.6861,0.046055897042155264,0.046055897042155264
2023-04-13_00-20-55.956557,CIFAR10,vgg,0.01,0,1,1.0000200003998319,6.602464456665833e-06,0.9492,0.1296,0.011895284127369074,0.4696702973365784
2023-04-13_00-18-50.790060,CIFAR10,vgg,0.005,0,1,1.000020000400008,3.3931323962640726e-06,0.9538,0.1097,0.010000014805230854,0.5079582425117493
2023-04-13_00-30-05.340612,CIFAR10,vgg,0.015,0,1,0.993759915997688,0.0006352355341887072,0.9341,0.1614,0.01117218659343198,0.2627224495410919
