id,dataset,model,epsilon,target_label,seed,train_acc,train_loss,clean_acc,bk_acc,clean_loss,bk_loss
2023-04-10_13-15-30.256482,CIFAR10,alexnet,0.015,0,4,0.9874397939937838,0.0003763160034295495,0.8371,0.2165,0.009347382244467736,0.1296803607940674
2023-04-10_13-15-09.903212,CIFAR10,alexnet,0.01,0,4,0.9897197679940158,0.00031644486421487125,0.8439,0.156,0.010789777448773383,0.2158400011062622
2023-04-10_13-15-03.233594,CIFAR10,alexnet,0.005,0,4,0.9862997435960319,0.0004349505574091358,0.8441,0.1085,0.009875799024105071,0.21684905242919922
2023-04-10_13-15-35.000533,CIFAR10,alexnet,0.02,0,4,0.9818397723937039,0.0005996052604310317,0.8222,0.3332,0.012198631954193115,0.10921883926391601
2023-04-10_13-15-53.606572,CIFAR10,googlenet,0.01,0,4,0.9687393395859917,0.0007277174921525201,0.9196,0.1685,0.002258256574347615,0.03932224588394165
2023-04-10_13-23-56.949505,CIFAR10,googlenet,0.02,0,4,0.9648992743844876,0.0007952270739042076,0.9112,0.471,0.0024371398724615575,0.017096326100826263
2023-04-10_13-23-56.944375,CIFAR10,googlenet,0.015,0,4,0.9673193087850558,0.0007678058361822934,0.9145,0.349,0.0023892317704856396,0.023319263052940367
2023-04-10_13-15-34.943021,CIFAR10,googlenet,0.005,0,4,0.9743594591880398,0.0006313128871788874,0.9205,0.1137,0.0022204525394365193,0.056666580724716184
2023-04-10_14-06-11.064408,CIFAR10,resnet,0.01,0,4,0.9858397475944879,0.0003207441408829526,0.9403,0.8506,0.001760289152339101,0.004670761557668448
2023-04-10_14-06-06.184070,CIFAR10,resnet,0.005,0,4,0.9884197715945758,0.00027466833651742893,0.9524,0.3433,0.0016065893621649593,0.03443250634670258
2023-04-10_14-06-12.077471,CIFAR10,resnet,0.02,0,4,0.9886797207944878,0.000264055853133867,0.9464,0.9083,0.0017006476014852525,0.0028513658955693247
2023-04-10_14-06-12.077377,CIFAR10,resnet,0.015,0,4,0.9873597303948959,0.0002835249436254843,0.9477,0.6861,0.001560772494226694,0.01216909829378128
2023-04-10_14-15-16.941336,TinyImageNet,alexnet,0.02,0,4,0.2711927008268873,0.10256714506631319,0.3446,0.3446,0.091376499158144,0.091376499158144
2023-04-10_14-15-16.942015,TinyImageNet,alexnet,0.015,0,4,0.2711927008268873,0.10256714506631319,0.3446,0.3446,0.091376499158144,0.091376499158144
2023-04-10_14-15-16.942535,TinyImageNet,alexnet,0.01,0,4,0.2711927008268873,0.10256714506631319,0.3446,0.3446,0.091376499158144,0.091376499158144
2023-04-10_14-16-33.434680,TinyImageNet,googlenet,0.015,0,4,0.5921859217590406,0.05177020759117829,0.6913,0.6913,0.03793758712261915,0.03793758712261915
2023-04-10_14-15-14.804915,TinyImageNet,googlenet,0.005,0,4,0.5921859217590406,0.05177020759117829,0.6913,0.6913,0.03793758712261915,0.03793758712261915
2023-04-10_14-15-14.805466,TinyImageNet,googlenet,0.01,0,4,0.5921859217590406,0.05177020759117829,0.6913,0.6913,0.03793758712261915,0.03793758712261915
2023-04-10_14-15-16.929976,TinyImageNet,alexnet,0.005,0,4,0.2724427029270003,0.10224892228418275,0.3364,0.3364,0.09220937678813934,0.09220937678813934
2023-04-10_15-15-04.339293,TinyImageNet,googlenet,0.02,0,4,0.5916459183590547,0.051769997706530485,0.6926,0.6926,0.037907731661200525,0.037907731661200525
2023-04-10_15-15-38.540542,TinyImageNet,resnet,0.02,0,4,0.6675066582663727,0.041179608562897305,0.7394,0.7394,0.03225416718870401,0.03225416718870401
2023-04-10_15-18-58.499596,TinyImageNet,resnet,0.015,0,4,0.6681866608663766,0.041095596494269214,0.7346,0.7346,0.033338991560414435,0.033338991560414435
2023-04-10_15-15-24.969929,TinyImageNet,resnet,0.005,0,4,0.6692666464663607,0.041078876052403505,0.7384,0.7384,0.032885739447921516,0.032885739447921516
2023-04-10_15-15-52.931632,TinyImageNet,resnet,0.01,0,4,0.6691166714664857,0.04113341197551772,0.7434,0.7434,0.03242155946828425,0.03242155946828425
2023-04-10_17-41-32.659530,TinyImageNet,vgg,0.02,0,4,0.7196871220704277,0.034665577609461824,0.6768,0.6768,0.04918448326438665,0.04918448326438665
2023-04-10_17-41-32.660665,TinyImageNet,vgg,0.015,0,4,0.7208471073703177,0.03465962962936394,0.6847,0.6847,0.047609987203776835,0.047609987203776835
2023-04-10_17-31-30.090802,TinyImageNet,vgg,0.005,0,4,0.7203471218704367,0.03468027739685353,0.6857,0.6857,0.04712347481995821,0.04712347481995821
2023-04-10_17-31-38.820816,TinyImageNet,vgg,0.01,0,4,0.7197471211704497,0.0347397318011165,0.6841,0.6841,0.047444223895668984,0.047444223895668984
2023-04-12_16-20-41.138119,CIFAR10,vgg,0.005,0,4,1.000020000400008,2.5081523931075935e-06,0.9414,0.1539,0.0029399380944669247,0.09098084745407105
2023-04-12_16-22-19.601405,CIFAR10,vgg,0.01,0,4,1.000020000400008,2.1022732681652373e-06,0.9408,0.3451,0.003042667192220688,0.04716073136329651
2023-04-12_18-20-00.358983,CIFAR10,vgg,0.015,0,4,1.000020000400008,1.9427043768111825e-06,0.9397,0.6154,0.0031063833586871623,0.022481638503074646
2023-04-13_01-43-52.965480,CIFAR10,vgg,0.02,0,4,1.000020000400008,1.8578620302430484e-06,0.9403,0.7567,0.003018177030980587,0.013067641288042069
