id,attack_id,dataset,model,lr,init_cost,atk_threshold,epochs,seed,flag_list,list_mad
2023-03-20_11-09-35,,MNIST,vgg,0.1,0.001,99.0,3,42,[],[]
2023-03-20_11-09-35,,MNIST,vgg,0.1,0.001,99.0,3,42,[],[]
