id,attack_id,fp_epochs,dataset,model,pruning_rate,seed,train_acc,train_loss,clean_acc,bk_acc,clean_loss,bk_loss,pruned_clean_acc,pruned_bk_acc,fine-pruned_clean_acc,fine-pruned_bk_acc
2023-04-13_23-35-40.301935,2023-04-09_23-29-21.735129,2,CIFAR10,alexnet,0.0,2,0.989079741992832,0.00032567503624305244,0.8408,0.2731,0.009189266455173492,0.12698151035308838,0.8409,0.0999,0.8547,0.0999
2023-04-13_23-37-10.979520,2023-04-09_23-29-21.735129,2,CIFAR10,alexnet,0.3,2,0.989079741992832,0.00032567503624305244,0.8408,0.2731,0.009189266455173492,0.12698151035308838,0.8342,0.1003,0.8531,0.1003
2023-04-13_23-32-07.152164,2023-04-09_23-29-21.735129,10,CIFAR10,alexnet,0.0,2,0.989079741992832,0.00032567503624305244,0.8408,0.2731,0.009189266455173492,0.12698151035308838,0.8409,0.1202,0.8485,0.1202
2023-04-13_23-39-43.602599,2023-04-09_23-29-21.735129,2,CIFAR10,alexnet,0.6,2,0.989079741992832,0.00032567503624305244,0.8408,0.2731,0.009189266455173492,0.12698151035308838,0.7807,0.1127,0.8487,0.1127
2023-04-13_23-40-44.416777,2023-04-09_23-29-21.735129,2,CIFAR10,alexnet,0.9,2,0.989079741992832,0.00032567503624305244,0.8408,0.2731,0.009189266455173492,0.12698151035308838,0.5733,0.1018,0.805,0.1018
2023-04-13_23-43-46.507641,2023-04-09_23-29-18.168244,2,CIFAR10,googlenet,0.0,2,0.9653992359843757,0.0007921676375893239,0.9066,0.5355,0.002673564612865448,0.01388199771642685,0.9066,0.1213,0.92,0.1213
2023-04-13_23-39-13.062072,2023-04-09_23-29-21.735129,10,CIFAR10,alexnet,0.6,2,0.989079741992832,0.00032567503624305244,0.8408,0.2731,0.009189266455173492,0.12698151035308838,0.7807,0.1051,0.8397,0.1051
2023-04-13_23-37-12.075634,2023-04-09_23-29-21.735129,10,CIFAR10,alexnet,0.3,2,0.989079741992832,0.00032567503624305244,0.8408,0.2731,0.009189266455173492,0.12698151035308838,0.8342,0.1229,0.8519,0.1229
2023-04-13_23-45-48.924172,2023-04-09_23-29-18.168244,2,CIFAR10,googlenet,0.3,2,0.9653992359843757,0.0007921676375893239,0.9066,0.5355,0.002673564612865448,0.01388199771642685,0.8273,0.1157,0.9226,0.1157
2023-04-13_23-49-21.095582,2023-04-09_23-29-18.168244,2,CIFAR10,googlenet,0.6,2,0.9653992359843757,0.0007921676375893239,0.9066,0.5355,0.002673564612865448,0.01388199771642685,0.5051,0.1092,0.919,0.1092
2023-04-13_23-40-17.466899,2023-04-09_23-29-21.735129,10,CIFAR10,alexnet,0.9,2,0.989079741992832,0.00032567503624305244,0.8408,0.2731,0.009189266455173492,0.12698151035308838,0.5734,0.0963,0.8061,0.0963
2023-04-13_23-42-45.939229,2023-04-09_23-29-18.168244,10,CIFAR10,googlenet,0.0,2,0.9653992359843757,0.0007921676375893239,0.9066,0.5355,0.002673564612865448,0.01388199771642685,0.9066,0.116,0.9213,0.116
2023-04-13_23-45-18.020407,2023-04-09_23-29-18.168244,10,CIFAR10,googlenet,0.3,2,0.9653992359843757,0.0007921676375893239,0.9066,0.5355,0.002673564612865448,0.01388199771642685,0.8273,0.1109,0.9233,0.1109
2023-04-13_23-52-54.419126,2023-04-09_23-29-18.168244,2,CIFAR10,googlenet,0.9,2,0.9653992359843757,0.0007921676375893239,0.9066,0.5355,0.002673564612865448,0.01388199771642685,0.2456,0.1054,0.9086,0.1054
2023-04-13_23-49-21.125725,2023-04-09_23-29-18.168244,10,CIFAR10,googlenet,0.9,2,0.9653992359843757,0.0007921676375893239,0.9066,0.5355,0.002673564612865448,0.01388199771642685,0.2456,0.0994,0.919,0.0994
2023-04-13_23-49-21.709906,2023-04-09_23-29-18.168244,10,CIFAR10,googlenet,0.6,2,0.9653992359843757,0.0007921676375893239,0.9066,0.5355,0.002673564612865448,0.01388199771642685,0.5051,0.1075,0.9248,0.1075
2023-04-14_03-46-09.706123,2023-04-09_23-46-06.562854,2,CIFAR10,resnet,0.0,2,0.9865597083950799,0.0003113819649387554,0.943,0.9052,0.0017912416115403176,0.003234360507130623,0.943,0.1164,0.9472,0.1164
2023-04-14_03-45-59.035051,2023-04-09_23-46-06.562854,10,CIFAR10,resnet,0.0,2,0.9865597083950799,0.0003113819649387554,0.943,0.9052,0.0017912416115403176,0.003234360507130623,0.943,0.1111,0.9501,0.1111
2023-04-14_03-52-00.797911,2023-04-09_23-46-06.562854,10,CIFAR10,resnet,0.3,2,0.9865597083950799,0.0003113819649387554,0.943,0.9052,0.0017912416115403176,0.003234360507130623,0.9415,0.1135,0.9483,0.1135
2023-04-14_04-10-58.247838,2023-04-09_23-46-06.562854,2,CIFAR10,resnet,0.3,2,0.9865597083950799,0.0003113819649387554,0.943,0.9052,0.0017912416115403176,0.003234360507130623,0.9415,0.1188,0.954,0.1188
2023-04-14_04-17-16.053757,2023-04-09_23-46-06.562854,2,CIFAR10,resnet,0.6,2,0.9865597083950799,0.0003113819649387554,0.943,0.9052,0.0017912416115403176,0.003234360507130623,0.9347,0.1139,0.955,0.1139
2023-04-14_04-14-10.069928,2023-04-09_23-46-06.562854,10,CIFAR10,resnet,0.6,2,0.9865597083950799,0.0003113819649387554,0.943,0.9052,0.0017912416115403176,0.003234360507130623,0.9347,0.1083,0.9519,0.1083
2023-04-14_04-36-18.899897,2023-04-09_23-46-06.562854,2,CIFAR10,resnet,0.9,2,0.9865597083950799,0.0003113819649387554,0.943,0.9052,0.0017912416115403176,0.003234360507130623,0.8307,0.1048,0.9556,0.1048
2023-04-14_04-23-45.309783,2023-04-09_23-46-06.562854,10,CIFAR10,resnet,0.9,2,0.9865597083950799,0.0003113819649387554,0.943,0.9052,0.0017912416115403176,0.003234360507130623,0.8307,0.1074,0.9483,0.1074
2023-04-14_04-48-40.803761,2023-04-13_01-37-31.586081,2,CIFAR10,vgg,0.0,2,1.000020000400008,1.7980756734314906e-06,0.9422,0.7201,0.0029127426035702227,0.015419264686107636,0.9422,0.2022,0.9415,0.2022
2023-04-14_04-42-08.218611,2023-04-13_01-37-31.586081,10,CIFAR10,vgg,0.0,2,1.000020000400008,1.7980756734314906e-06,0.9422,0.7201,0.0029127426035702227,0.015419264686107636,0.9422,0.1857,0.9459,0.1857
2023-04-14_05-03-26.233532,2023-04-13_01-37-31.586081,2,CIFAR10,vgg,0.3,2,1.000020000400008,1.7980756734314906e-06,0.9422,0.7201,0.0029127426035702227,0.015419264686107636,0.9368,0.1866,0.9409,0.1866
2023-04-14_04-55-06.816850,2023-04-13_01-37-31.586081,10,CIFAR10,vgg,0.3,2,1.000020000400008,1.7980756734314906e-06,0.9422,0.7201,0.0029127426035702227,0.015419264686107636,0.9368,0.1738,0.946,0.1738
2023-04-14_05-18-33.733477,2023-04-13_01-37-31.586081,2,CIFAR10,vgg,0.6,2,1.000020000400008,1.7980756734314906e-06,0.9422,0.7201,0.0029127426035702227,0.015419264686107636,0.8272,0.1639,0.9421,0.1639
2023-04-14_05-11-31.615745,2023-04-13_01-37-31.586081,10,CIFAR10,vgg,0.6,2,1.000020000400008,1.7980756734314906e-06,0.9422,0.7201,0.0029127426035702227,0.015419264686107636,0.8272,0.151,0.9429,0.151
2023-04-14_05-32-31.927123,2023-04-13_01-37-31.586081,2,CIFAR10,vgg,0.9,2,1.000020000400008,1.7980756734314906e-06,0.9422,0.7201,0.0029127426035702227,0.015419264686107636,0.3505,0.1086,0.9309,0.1086
2023-04-14_05-24-50.192380,2023-04-13_01-37-31.586081,10,CIFAR10,vgg,0.9,2,1.000020000400008,1.7980756734314906e-06,0.9422,0.7201,0.0029127426035702227,0.015419264686107636,0.3505,0.1177,0.9419,0.1177
