id,attack_id,dataset,model,lr,is_bk,init_cost,atk_threshold,epochs,seed,flag_list,list_mad
2023-04-13_15-38-30.807348,2023-04-11_23-46-05.918050,CIFAR10,googlenet,0.1,False,0.001,99.0,3,1,[],[]
2023-04-13_15-45-35.580765,2023-04-12_00-13-11.998472,CIFAR10,alexnet,0.1,False,0.001,99.0,3,1,[],[]
2023-04-13_15-39-51.936824,2023-04-13_00-30-05.340612,CIFAR10,vgg,0.1,True,0.001,99.0,3,1,[],[]
2023-04-13_21-14-55.910700,2023-04-12_12-41-21.140316,CIFAR10,resnet,0.1,True,0.001,99.0,3,1,[],[]
2023-04-13_21-14-55.910700,2023-04-12_12-41-21.140316,CIFAR10,resnet,0.1,False,0.001,99.0,3,1,[],[]
