id,attack_id,dataset,model,lr,is_bk,init_cost,atk_threshold,epochs,seed,flag_list,list_mad
2023-04-13_19-13-46.222424,2023-04-09_16-46-38.600476,CIFAR10,alexnet,0.1,True,0.001,99.0,3,0,"[(9, tensor(0.5181, device='cuda:0')), (0, tensor(5.9784, device='cuda:0')), (6, tensor(6600.7197, device='cuda:0')), (2, tensor(6780.5171, device='cuda:0'))]","[(0, tensor(16.9939, device='cuda:0')), (2, tensor(8.6419, device='cuda:0')), (6, tensor(8.8636, device='cuda:0')), (9, tensor(17.0006, device='cuda:0'))]"
2023-04-13_19-13-46.222424,2023-04-09_16-46-38.600476,CIFAR10,alexnet,0.1,False,0.001,99.0,3,0,[],[]
2023-04-13_19-15-41.004665,2023-04-09_16-46-39.101844,CIFAR10,googlenet,0.1,False,0.001,99.0,3,0,[],[]
2023-04-13_19-15-41.004665,2023-04-09_16-46-39.101844,CIFAR10,googlenet,0.1,False,0.001,99.0,3,0,[],[]
2023-04-13_19-16-28.182157,2023-04-12_18-26-12.508690,CIFAR10,vgg,0.1,True,0.001,99.0,3,0,[],[]
2023-04-13_19-16-28.182157,2023-04-12_18-26-12.508690,CIFAR10,vgg,0.1,False,0.001,99.0,3,0,[],[]
2023-04-13_19-16-05.701886,2023-04-09_16-51-24.829359,CIFAR10,resnet,0.1,True,0.001,99.0,3,0,[],[]
2023-04-13_19-16-05.701886,2023-04-09_16-51-24.829359,CIFAR10,resnet,0.1,False,0.001,99.0,3,0,[],[]
