id,dataset,model,epsilon,target_label,seed,train_acc,train_loss,clean_acc,bk_acc,clean_loss,bk_loss
2023-04-10_12-20-51.131005,CIFAR10,googlenet,0.005,0,3,0.3378266669324106,0.014482933394824577,0.0962,0.0117,0.023241072511672973,0.02686201686859131
2023-04-10_12-21-11.024783,CIFAR10,googlenet,0.015,0,3,0.3317665317303146,0.01464041160665423,0.1162,0.2094,0.023158896279335022,0.015881796598434448
2023-04-10_12-21-11.025615,CIFAR10,googlenet,0.02,0,3,0.3306864829286505,0.014697791813493363,0.0902,0.0689,0.02436899619102478,0.019853245639801027
2023-04-10_12-21-10.998293,CIFAR10,googlenet,0.01,0,3,0.3345266125304986,0.01452174150999404,0.1194,0.7135,0.025260044622421266,0.008176804161071777
2023-04-10_12-37-43.310505,CIFAR10,alexnet,0.005,0,3,0.462668620959691,0.01160458814216766,0.1079,0.128,0.13169295072555542,0.12804319782257081
2023-04-10_12-37-45.326279,CIFAR10,alexnet,0.01,0,3,0.4502283653563389,0.011903444351060184,0.108,0.0747,0.1352807893753052,0.1819864288330078
2023-04-10_12-38-06.954671,CIFAR10,alexnet,0.015,0,3,0.47898878136344303,0.011332438965065616,0.0862,0.0059,0.2699665054321289,0.31988939361572266
2023-04-10_12-21-31.400150,CIFAR10,vgg,0.01,0,3,0.6404119202191481,0.007807685399283258,0.0985,0.0243,0.034466805148124696,0.03869978966712952
2023-04-10_12-21-31.399951,CIFAR10,vgg,0.015,0,3,0.6926729834398444,0.0066956492901817976,0.0827,0.0177,0.030991645216941834,0.034809697246551516
2023-04-10_12-21-31.330985,CIFAR10,vgg,0.005,0,3,0.7226735234532287,0.006062669884146494,0.1056,0.0152,0.044234631443023684,0.0506194694519043
2023-04-10_12-21-31.385504,CIFAR10,vgg,0.02,0,3,0.642491937419412,0.00787862276087845,0.1157,0.0116,0.03249107971191406,0.03213912525177002
2023-04-10_12-21-21.801877,CIFAR10,resnet,0.015,0,3,0.3501269137352427,0.01422148550211704,0.0946,0.0061,0.026678821301460265,0.038256252670288086
2023-04-10_12-21-21.801736,CIFAR10,resnet,0.02,0,3,0.3413866797326666,0.014461219212095675,0.098,0.0046,0.03205550684928894,0.037821663141250614
2023-04-10_12-21-21.802319,CIFAR10,resnet,0.005,0,3,0.3587270149390347,0.014026002670940629,0.0789,0.0398,0.03564110989570618,0.03438406803607941
2023-04-10_12-21-21.798752,CIFAR10,resnet,0.01,0,3,0.3498669013363067,0.014173050703435115,0.0816,0.0057,0.04434379210472107,0.05267295985221863
2023-04-10_12-42-52.134781,CIFAR10,alexnet,0.02,0,3,0.4162878601463708,0.012632221262351136,0.1166,0.0055,0.28684877376556395,0.2944173645019531
2023-04-12_00-53-49.979825,TinyImageNet,googlenet,0.01,0,3,0.5920059112590186,0.013019256699910251,0.6934,0.6934,0.00954671521782875,0.00954671521782875
2023-04-12_00-53-49.979851,TinyImageNet,googlenet,0.005,0,3,0.5915959128590276,0.012994589493193941,0.6928,0.6928,0.009473045909404754,0.009473045909404754
2023-04-12_01-12-12.056998,TinyImageNet,alexnet,0.02,0,3,0.35971354153540736,0.022448625070835494,0.404,0.404,0.02239883440732956,0.02239883440732956
2023-04-12_01-00-14.303839,TinyImageNet,googlenet,0.015,0,3,0.5938559222591355,0.012968566652461358,0.6939,0.6939,0.009420676922798157,0.009420676922798157
2023-04-12_01-00-14.324695,TinyImageNet,googlenet,0.02,0,3,0.5916159078592836,0.012936702826233729,0.6977,0.6977,0.009465538758039474,0.009465538758039474
2023-04-12_01-20-52.990850,TinyImageNet,alexnet,0.005,0,3,0.35928355323541633,0.022470204546474873,0.4116,0.4116,0.02225544329881668,0.02225544329881668
2023-04-12_01-12-11.856680,TinyImageNet,alexnet,0.015,0,3,0.35535352603523335,0.02255139815956144,0.4003,0.4003,0.02226024647951126,0.02226024647951126
2023-04-12_01-12-11.855909,TinyImageNet,alexnet,0.01,0,3,0.35616351583517936,0.022553940232090973,0.4058,0.4058,0.022067670571804046,0.022067670571804046
2023-04-12_01-14-41.124896,TinyImageNet,resnet,0.02,0,3,0.6951969400691407,0.009380950072082965,0.7704,0.7704,0.007265211601555348,0.007265211601555348
2023-04-12_01-04-38.002014,TinyImageNet,vgg,0.01,0,3,0.7180271365702428,0.03484570254504645,0.6944,0.6944,0.04489542686194181,0.04489542686194181
2023-04-12_01-04-04.848472,TinyImageNet,vgg,0.015,0,3,0.7157771187704687,0.03522278605383869,0.6884,0.6884,0.047679290526360274,0.047679290526360274
2023-04-12_01-04-42.154808,TinyImageNet,vgg,0.005,0,3,0.7184971102703768,0.034801676844524114,0.6782,0.6782,0.04780949865952134,0.04780949865952134
2023-04-12_01-05-37.964403,TinyImageNet,vgg,0.02,0,3,0.7169471002704066,0.03499304401590445,0.6914,0.6914,0.046329850050806996,0.046329850050806996
2023-04-12_16-29-53.563669,TinyImageNet,resnet,0.005,0,3,0.6954769512690656,0.009336072771493495,0.773,0.773,0.007116270062327385,0.007116270062327385
2023-04-13_02-19-25.546362,TinyImageNet,resnet,0.01,0,3,0.6967469537690376,0.00933074765860041,0.7734,0.7734,0.007334470185637474,0.007334470185637474
2023-04-13_02-40-33.063358,TinyImageNet,resnet,0.015,0,3,0.6986669328691366,0.009275074921622214,0.7711,0.7711,0.007295205581188202,0.007295205581188202
