id,dataset,model,epsilon,target_label,seed,train_acc,train_loss,clean_acc,bk_acc,clean_loss,bk_loss
2023-04-09_23-29-21.723446,CIFAR10,alexnet,0.02,0,3,0.9871396975942078,0.00040586731442175255,0.8416,0.1649,0.010979310485720635,0.20429942855834962
2023-04-09_23-29-21.734395,CIFAR10,alexnet,0.01,0,3,0.9853797519943839,0.0004515154749813244,0.8397,0.1356,0.010623757416009903,0.23932154903411865
2023-04-09_23-29-21.734903,CIFAR10,alexnet,0.015,0,3,0.9856597115942639,0.00046553620864431863,0.8272,0.2032,0.011063126429915427,0.15844995222091673
2023-04-09_23-29-20.885998,CIFAR10,googlenet,0.005,0,3,0.9736394295883117,0.0006461514340794922,0.9194,0.1241,0.0022590651554986836,0.05194283890724182
2023-04-09_23-29-18.168236,CIFAR10,googlenet,0.02,0,3,0.9646192435843837,0.0008000017961657616,0.9112,0.4575,0.002474721410125494,0.017805247497558595
2023-04-09_23-29-18.174032,CIFAR10,googlenet,0.01,0,3,0.9686393179861917,0.0007505682860053826,0.9149,0.1932,0.0023777331706136464,0.03342701930999756
2023-04-09_23-29-18.173879,CIFAR10,googlenet,0.015,0,3,0.9648792895852798,0.0007857575982321114,0.917,0.3267,0.0024108091913163663,0.02367854423522949
2023-04-09_23-29-03.177720,CIFAR10,alexnet,0.005,0,3,0.983399741594336,0.0005774446300841643,0.8395,0.1134,0.010687909707427026,0.29680047454833985
2023-04-09_23-29-24.257956,CIFAR10,resnet,0.005,0,3,0.9868397655954958,0.0003002164239919851,0.9515,0.283,0.0015345823619514704,0.03919884741306305
2023-04-09_23-29-24.271578,CIFAR10,resnet,0.01,0,3,0.9885997235945839,0.00026740387889687725,0.9501,0.4083,0.0016435286588966846,0.03460925555229187
2023-04-09_23-45-54.100644,CIFAR10,resnet,0.015,0,3,0.987059767995264,0.0003050493108990878,0.9416,0.8809,0.0018240615345537664,0.003647380813956261
2023-04-09_23-46-14.066778,CIFAR10,resnet,0.02,0,3,0.9881197639948399,0.0002715472475017669,0.9497,0.8274,0.0016455244537442923,0.007333847519755364
2023-04-10_00-34-47.225038,TinyImageNet,alexnet,0.02,0,3,0.2685426697266663,0.10237894334769602,0.3422,0.3422,0.0920913450062275,0.0920913450062275
2023-04-10_00-34-42.403090,TinyImageNet,googlenet,0.005,0,3,0.5916658994589297,0.051907448943615174,0.6951,0.6951,0.03791725642494857,0.03791725642494857
2023-04-09_23-59-59.479718,TinyImageNet,alexnet,0.01,0,3,0.27029269592683725,0.10270436275887605,0.338,0.338,0.09168419588804246,0.09168419588804246
2023-04-10_00-01-13.070324,TinyImageNet,alexnet,0.005,0,3,0.2685426697266663,0.10237894334769602,0.3422,0.3422,0.0920913450062275,0.0920913450062275
2023-04-10_01-17-08.005348,TinyImageNet,googlenet,0.01,0,3,0.5921259013588756,0.051924846833220226,0.6947,0.6947,0.03802653592862189,0.03802653592862189
2023-04-10_00-30-46.003356,TinyImageNet,alexnet,0.015,0,3,0.2685426697266663,0.10237894334769602,0.3422,0.3422,0.0920913450062275,0.0920913450062275
2023-04-10_01-27-22.694463,TinyImageNet,googlenet,0.02,0,3,0.5908459027588716,0.05192522810961148,0.6943,0.6943,0.03788178727813065,0.03788178727813065
2023-04-10_01-27-22.694654,TinyImageNet,googlenet,0.015,0,3,0.5908459027588716,0.05192522810961148,0.6943,0.6943,0.03788178727813065,0.03788178727813065
2023-04-10_02-28-55.877619,TinyImageNet,vgg,0.005,0,3,0.7194571020704036,0.034667989846410174,0.6903,0.6903,0.045663808491081,0.045663808491081
2023-04-10_02-51-18.436088,TinyImageNet,vgg,0.01,0,3,0.7194571020704036,0.034667989846410174,0.6903,0.6903,0.045663808491081,0.045663808491081
2023-04-10_01-27-31.372907,TinyImageNet,resnet,0.005,0,3,0.6671866365663958,0.04105600458078057,0.7312,0.7312,0.03405978296548128,0.03405978296548128
2023-04-10_01-33-55.609327,TinyImageNet,resnet,0.01,0,3,0.6679166480662607,0.04108296038525272,0.7365,0.7365,0.03244028119295835,0.03244028119295835
2023-04-10_01-34-21.737561,TinyImageNet,resnet,0.015,0,3,0.6672966423663537,0.04113985539499916,0.7431,0.7431,0.03167306701242924,0.03167306701242924
2023-04-10_01-34-21.822740,TinyImageNet,resnet,0.02,0,3,0.6681266423662996,0.041016644419539214,0.7385,0.7385,0.03248605659790337,0.03248605659790337
2023-04-10_03-29-08.481376,TinyImageNet,vgg,0.02,0,3,0.7211070931705408,0.034644957301270776,0.6869,0.6869,0.04514989429973066,0.04514989429973066
2023-04-10_03-29-08.504586,TinyImageNet,vgg,0.015,0,3,0.7219270979703517,0.034555318069123105,0.6838,0.6838,0.04714801682699472,0.04714801682699472
2023-04-12_16-21-34.714796,CIFAR10,vgg,0.01,0,3,1.000020000400008,2.163949554099333e-06,0.9403,0.3266,0.0030090297058224676,0.04841430523395538
2023-04-12_16-20-40.794785,CIFAR10,vgg,0.005,0,3,1.000020000400008,2.4224544408267478e-06,0.9433,0.1482,0.0028773450374603273,0.0893178388595581
2023-04-12_18-18-46.894435,CIFAR10,vgg,0.015,0,3,1.000020000400008,1.988339084586835e-06,0.9419,0.5567,0.0029870495781302454,0.026465450429916382
2023-04-13_01-38-03.530808,CIFAR10,vgg,0.02,0,3,1.000020000400008,1.8735831803585013e-06,0.9424,0.7431,0.003020730123668909,0.01394292133450508
