id,attack_id,fp_epochs,dataset,model,pruning_rate,seed,train_acc,train_loss,clean_acc,bk_acc,clean_loss,bk_loss,pruned_clean_acc,pruned_bk_acc,fine-pruned_clean_acc,fine-pruned_bk_acc
2023-04-13_17-59-23.273443,2023-04-09_20-27-23.748410,10,CIFAR10,googlenet,0.9,0,0.9186583243661274,0.0018749765665294262,0.9048,0.1816,0.002471679139137268,0.028223467445373535,0.2716,0.0993,0.9222,0.0993
2023-04-13_17-59-23.273968,2023-04-09_20-27-23.748410,10,CIFAR10,googlenet,0.6,0,0.9186583243661274,0.0018749765665294262,0.9048,0.1816,0.002471679139137268,0.028223467445373535,0.4979,0.0966,0.924,0.0966
2023-04-13_18-00-18.668113,2023-04-09_20-27-23.748410,10,CIFAR10,googlenet,0.3,0,0.9186583243661274,0.0018749765665294262,0.9048,0.1816,0.002471679139137268,0.028223467445373535,0.8074,0.0964,0.9228,0.0964
2023-04-13_17-59-23.302749,2023-04-09_20-27-23.748410,10,CIFAR10,googlenet,0.0,0,0.9186583243661274,0.0018749765665294262,0.9048,0.1816,0.002471679139137268,0.028223467445373535,0.9047,0.0975,0.9218,0.0975
2023-04-13_18-06-40.193271,2023-04-09_20-25-53.805653,10,CIFAR10,alexnet,0.3,0,0.9820195807917999,0.0005977653913415458,0.8164,0.245,0.009624710404872894,0.07850289707183838,0.8124,0.096,0.8437,0.096
2023-04-13_18-07-42.229912,2023-04-09_20-25-53.805653,10,CIFAR10,alexnet,0.6,0,0.9820195807917999,0.0005977653913415458,0.8164,0.245,0.009624710404872894,0.07850289707183838,0.7615,0.1158,0.8337,0.1158
2023-04-13_18-05-15.837450,2023-04-09_20-25-53.805653,10,CIFAR10,alexnet,0.0,0,0.9820195807917999,0.0005977653913415458,0.8164,0.245,0.009624710404872894,0.07850289707183838,0.8164,0.1149,0.8432,0.1149
2023-04-13_18-07-42.229100,2023-04-09_20-25-53.805653,10,CIFAR10,alexnet,0.9,0,0.9820195807917999,0.0005977653913415458,0.8164,0.245,0.009624710404872894,0.07850289707183838,0.4794,0.0976,0.7954,0.0976
2023-04-13_18-02-56.356086,2023-04-12_16-41-31.669463,10,CIFAR10,vgg,0.0,0,0.9917197787948558,0.00022757778737442696,0.9271,0.2552,0.003832678609341383,0.0563526918888092,0.9271,0.1065,0.9484,0.1065
2023-04-13_18-21-05.885155,2023-04-09_23-32-42.882162,10,CIFAR10,resnet,0.0,0,0.9507190003804316,0.0010657683750669746,0.9408,0.6074,0.0016636267364025115,0.013675228881835937,0.9406,0.1032,0.9522,0.1032
2023-04-13_18-21-06.043157,2023-04-09_23-32-42.882162,10,CIFAR10,resnet,0.9,0,0.9507190003804316,0.0010657683750669746,0.9408,0.6074,0.0016636267364025115,0.013675228881835937,0.8199,0.1065,0.9506,0.1065
2023-04-13_18-22-17.929264,2023-04-12_16-41-31.669463,10,CIFAR10,vgg,0.3,0,0.9917197787948558,0.00022757778737442696,0.9271,0.2552,0.003832678609341383,0.0563526918888092,0.9189,0.1057,0.948,0.1057
2023-04-13_18-22-17.932578,2023-04-12_16-41-31.669463,10,CIFAR10,vgg,0.6,0,0.9917197787948558,0.00022757778737442696,0.9271,0.2552,0.003832678609341383,0.0563526918888092,0.7833,0.1054,0.9467,0.1054
2023-04-13_18-22-17.928960,2023-04-12_16-41-31.669463,10,CIFAR10,vgg,0.9,0,0.9917197787948558,0.00022757778737442696,0.9271,0.2552,0.003832678609341383,0.0563526918888092,0.3656,0.1054,0.947,0.1054
2023-04-13_18-44-13.405193,2023-04-09_23-32-42.882162,10,CIFAR10,resnet,0.6,0,0.9507190003804316,0.0010657683750669746,0.9408,0.6074,0.0016636267364025115,0.013675228881835937,0.9303,0.1107,0.9556,0.1107
2023-04-13_18-45-13.858491,2023-04-09_23-32-42.882162,10,CIFAR10,resnet,0.3,0,0.9507190003804316,0.0010657683750669746,0.9408,0.6074,0.0016636267364025115,0.013675228881835937,0.9398,0.1103,0.9544,0.1103
