id,attack_id,dataset,model,lr,is_bk,init_cost,atk_threshold,epochs,seed,flag_list,list_mad
2023-04-13_23-41-45.100997,2023-04-09_23-29-21.735129,CIFAR10,alexnet,0.1,True,0.001,99.0,3,2,"[(0, tensor(8.4697, device='cuda:0'))]","[(0, tensor(7.3177, device='cuda:0'))]"
2023-04-13_23-41-45.100997,2023-04-09_23-29-21.735129,CIFAR10,alexnet,0.1,False,0.001,99.0,3,2,[],[]
2023-04-13_23-52-53.987450,2023-04-09_23-29-18.168244,CIFAR10,googlenet,0.1,False,0.001,99.0,3,2,[],[]
2023-04-13_23-52-53.987450,2023-04-09_23-29-18.168244,CIFAR10,googlenet,0.1,False,0.001,99.0,3,2,[],[]
2023-04-13_23-53-29.361547,2023-04-13_01-37-31.586081,CIFAR10,vgg,0.1,True,0.001,99.0,3,2,[],[]
2023-04-13_23-53-29.361547,2023-04-13_01-37-31.586081,CIFAR10,vgg,0.1,False,0.001,99.0,3,2,[],[]
2023-04-13_23-53-00.339805,2023-04-09_23-46-06.562854,CIFAR10,resnet,0.1,True,0.001,99.0,3,2,"[(0, tensor(12.2624, device='cuda:0')), (1, tensor(14428.6729, device='cuda:0'))]","[(0, tensor(29203.7188, device='cuda:0')), (1, tensor(3.9955, device='cuda:0'))]"
2023-04-13_23-53-00.339805,2023-04-09_23-46-06.562854,CIFAR10,resnet,0.1,False,0.001,99.0,3,2,[],[]
