id,dataset,model,epsilon,target_label,seed,train_acc,train_loss,clean_acc,bk_acc,clean_loss,bk_loss
2023-04-09_18-55-11.320004,CIFAR10,googlenet,0.005,0,0,0.9590391839824317,0.000975965067725696,0.9162,0.1056,0.0023681545950472354,0.05528284010887146
2023-04-09_20-27-23.748410,CIFAR10,googlenet,0.02,0,0,0.9186583243661274,0.0018749765665294262,0.9048,0.1816,0.002471679139137268,0.028223467445373535
2023-04-09_20-25-53.805653,CIFAR10,alexnet,0.02,0,0,0.9820195807917999,0.0005977653913415458,0.8164,0.245,0.009624710404872894,0.07850289707183838
2023-04-09_20-25-53.806782,CIFAR10,alexnet,0.015,0,0,0.9809596203914398,0.0006238868992226242,0.8203,0.1718,0.010382525807619095,0.10099357614517213
2023-04-09_19-29-06.537712,CIFAR10,resnet,0.01,0,0,0.9701993371858079,0.0006585559865962162,0.945,0.2653,0.001863190726749599,0.03660422632694244
2023-04-09_19-29-06.539271,CIFAR10,resnet,0.005,0,0,0.9762195383906158,0.0005352133476219767,0.9455,0.1073,0.001738323612138629,0.06586773071289062
2023-04-09_19-29-06.535882,CIFAR10,resnet,0.015,0,0,0.9582791967833757,0.0009113461412040531,0.9427,0.3467,0.0016831486139446497,0.027290467000007628
2023-04-09_20-27-09.368616,CIFAR10,googlenet,0.015,0,0,0.9314586307715754,0.0016165604726629513,0.9111,0.1371,0.0023542149677872656,0.03338337335586548
2023-04-09_20-27-09.369354,CIFAR10,googlenet,0.01,0,0,0.9462988827774476,0.001306014353656464,0.9097,0.1239,0.002400418848544359,0.04176730871200562
2023-04-09_20-25-30.954579,CIFAR10,alexnet,0.01,0,0,0.9838396463935198,0.0005408210193965778,0.8241,0.1685,0.010828153294324875,0.12148154382705688
2023-04-09_20-25-30.953505,CIFAR10,alexnet,0.005,0,0,0.9829797671932798,0.0005530588436865228,0.8227,0.1164,0.011127515715360642,0.1531274278640747
2023-04-09_23-32-42.882162,CIFAR10,resnet,0.02,0,0,0.9507190003804316,0.0010657683750669746,0.9408,0.6074,0.0016636267364025115,0.013675228881835937
2023-04-10_10-25-35.295185,TinyImageNet,alexnet,0.02,0,0,0.3541935475350394,0.022633456699710997,0.401,0.401,0.02189618055820465,0.02189618055820465
2023-04-10_10-25-35.308897,TinyImageNet,alexnet,0.005,0,0,0.35836357183560635,0.02244753762255403,0.4024,0.4024,0.02193352280855179,0.02193352280855179
2023-04-10_13-29-38.726359,TinyImageNet,alexnet,0.01,0,0,0.3576535438355594,0.02251305222245437,0.4049,0.4049,0.021967800712585448,0.021967800712585448
2023-04-10_13-29-38.725515,TinyImageNet,alexnet,0.015,0,0,0.3551035246350223,0.02253863650156006,0.3947,0.3947,0.021911766731739044,0.021911766731739044
2023-04-10_12-21-21.802244,TinyImageNet,resnet,0.005,0,0,0.6968969222691798,0.009334214698529677,0.7794,0.7794,0.007211858037114143,0.007211858037114143
2023-04-10_13-08-03.811610,TinyImageNet,resnet,0.01,0,0,0.6979169587691587,0.009250302894035283,0.7747,0.7747,0.007106340566277504,0.007106340566277504
2023-04-10_17-22-29.077416,TinyImageNet,googlenet,0.015,0,0,0.5903859131590556,0.013000439322530444,0.6906,0.6906,0.009514743286371231,0.009514743286371231
2023-04-10_17-18-41.279269,TinyImageNet,googlenet,0.01,0,0,0.5927059046592146,0.012989866587806282,0.6941,0.6941,0.009562058740854263,0.009562058740854263
2023-04-10_17-17-17.677443,TinyImageNet,googlenet,0.005,0,0,0.5921459089589146,0.013009777128279967,0.6906,0.6906,0.009567864733934402,0.009567864733934402
2023-04-10_17-29-31.947555,TinyImageNet,googlenet,0.02,0,0,0.5915759180589816,0.013005126022457594,0.6943,0.6943,0.009392809212207795,0.009392809212207795
2023-04-10_17-16-14.910198,TinyImageNet,vgg,0.01,0,0,0.7200571160701826,0.03477056606046342,0.6843,0.6843,0.0470502481251955,0.0470502481251955
2023-04-10_17-17-18.732946,TinyImageNet,vgg,0.015,0,0,0.7205471014703028,0.03469482734288515,0.6858,0.6858,0.04793081014379859,0.04793081014379859
2023-04-10_18-46-58.186992,TinyImageNet,resnet,0.02,0,0,0.6969469505691948,0.009301553470098065,0.7724,0.7724,0.007197493809461593,0.007197493809461593
2023-04-10_18-46-58.191156,TinyImageNet,resnet,0.015,0,0,0.6964669522692356,0.009319307803956983,0.7699,0.7699,0.007153423419594765,0.007153423419594765
2023-04-10_16-52-47.968801,TinyImageNet,vgg,0.005,0,0,0.7183070993704578,0.0348556753784298,0.6891,0.6891,0.04722426703646779,0.04722426703646779
2023-04-10_17-17-18.778329,TinyImageNet,vgg,0.02,0,0,0.7182271135702648,0.03490952886887922,0.6835,0.6835,0.04656203554905951,0.04656203554905951
2023-04-12_11-02-08.441586,CIFAR10,vgg,0.02,0,0,0.9787994963907439,0.0005027362649617685,0.9299,0.2746,0.0032050329476594926,0.04478271827697754
2023-04-12_14-32-33.945306,CIFAR10,vgg,0.005,0,0,0.9993399791993599,3.3106507271854064e-05,0.9386,0.1281,0.0033483735665678976,0.10793118953704833
2023-04-12_16-41-31.669463,CIFAR10,vgg,0.015,0,0,0.9917197787948558,0.00022757778737442696,0.9271,0.2552,0.003832678609341383,0.0563526918888092
2023-04-12_16-41-31.669446,CIFAR10,vgg,0.01,0,0,0.9892598451971599,0.00026550310100074287,0.9351,0.1529,0.0030319048568606378,0.07201060276031494
