id,attack_id,dataset,model,lr,is_bk,init_cost,atk_threshold,epochs,seed,flag_list,list_mad
2023-04-13_23-22-59.339081,2023-04-10_12-16-44.971632,CIFAR10,alexnet,0.1,True,0.001,99.0,3,1,"[(0, tensor(7.9053, device='cuda:0')), (6, tensor(2917.4004, device='cuda:0'))]","[(0, tensor(10.4835, device='cuda:0')), (6, tensor(7.9285, device='cuda:0'))]"
2023-04-13_23-22-59.339081,2023-04-10_12-16-44.971632,CIFAR10,alexnet,0.1,False,0.001,99.0,3,1,[],[]
2023-04-13_23-30-36.618805,2023-04-10_12-16-41.843131,CIFAR10,googlenet,0.1,False,0.001,99.0,3,1,[],[]
2023-04-13_23-30-36.618805,2023-04-10_12-16-41.843131,CIFAR10,googlenet,0.1,False,0.001,99.0,3,1,[],[]
2023-04-13_23-30-43.347456,2023-04-10_12-16-48.231664,CIFAR10,resnet,0.1,True,0.001,99.0,3,1,"[(0, tensor(14.5223, device='cuda:0')), (1, tensor(14422.8516, device='cuda:0')), (2, tensor(14428.7852, device='cuda:0'))]","[(0, tensor(inf, device='cuda:0')), (1, tensor(inf, device='cuda:0')), (2, tensor(inf, device='cuda:0'))]"
2023-04-13_23-30-43.347456,2023-04-10_12-16-48.231664,CIFAR10,resnet,0.1,False,0.001,99.0,3,1,[],[]
2023-04-13_23-30-42.335942,2023-04-12_19-00-49.068832,CIFAR10,vgg,0.1,True,0.001,99.0,3,1,[],[]
2023-04-13_23-30-42.335942,2023-04-12_19-00-49.068832,CIFAR10,vgg,0.1,False,0.001,99.0,3,1,[],[]
