id,attack_id,fp_epochs,dataset,model,pruning_rate,seed,train_acc,train_loss,clean_acc,bk_acc,clean_loss,bk_loss,pruned_clean_acc,pruned_bk_acc,fine-pruned_clean_acc,fine-pruned_bk_acc
2023-04-14_02-43-29.267115,2023-04-10_12-16-48.231664,2,CIFAR10,resnet,0.9,1,0.9883597435950159,0.0002716618646001801,0.9483,0.8842,0.0015504687294363975,0.0035270898092538117,0.8555,0.0993,0.9568,0.0993
2023-04-14_02-30-37.618111,2023-04-10_12-16-48.231664,10,CIFAR10,resnet,0.9,1,0.9883597435950159,0.0002716618646001801,0.9483,0.8842,0.0015504687294363975,0.0035270898092538117,0.8555,0.0998,0.9505,0.0998
2023-04-14_02-52-45.945106,2023-04-12_19-00-49.068832,2,CIFAR10,vgg,0.0,1,1.000020000400008,1.8126838871348516e-06,0.9421,0.7275,0.003018536388128996,0.014467733514308929,0.9421,0.1879,0.9414,0.1879
2023-04-14_02-49-55.113606,2023-04-12_19-00-49.068832,10,CIFAR10,vgg,0.0,1,1.000020000400008,1.8126838871348516e-06,0.9421,0.7275,0.003018536388128996,0.014467733514308929,0.9421,0.1689,0.946,0.1689
2023-04-14_03-12-07.139982,2023-04-12_19-00-49.068832,2,CIFAR10,vgg,0.3,1,1.000020000400008,1.8126838871348516e-06,0.9421,0.7275,0.003018536388128996,0.014467733514308929,0.9357,0.1809,0.9376,0.1809
2023-04-14_02-58-29.683000,2023-04-12_19-00-49.068832,10,CIFAR10,vgg,0.3,1,1.000020000400008,1.8126838871348516e-06,0.9421,0.7275,0.003018536388128996,0.014467733514308929,0.9357,0.1659,0.9459,0.1659
2023-04-14_03-19-34.364548,2023-04-12_19-00-49.068832,2,CIFAR10,vgg,0.6,1,1.000020000400008,1.8126838871348516e-06,0.9421,0.7275,0.003018536388128996,0.014467733514308929,0.844,0.1501,0.9372,0.1501
2023-04-14_03-17-54.338363,2023-04-12_19-00-49.068832,10,CIFAR10,vgg,0.6,1,1.000020000400008,1.8126838871348516e-06,0.9421,0.7275,0.003018536388128996,0.014467733514308929,0.844,0.1421,0.9473,0.1421
2023-04-14_03-39-50.120512,2023-04-12_19-00-49.068832,2,CIFAR10,vgg,0.9,1,1.000020000400008,1.8126838871348516e-06,0.9421,0.7275,0.003018536388128996,0.014467733514308929,0.4125,0.1195,0.9355,0.1195
2023-04-14_03-25-05.510855,2023-04-12_19-00-49.068832,10,CIFAR10,vgg,0.9,1,1.000020000400008,1.8126838871348516e-06,0.9421,0.7275,0.003018536388128996,0.014467733514308929,0.4125,0.1179,0.9428,0.1179
